level,dimensions,kg,representation,prompt_type,temperature_label,cq_complexity,n,syntax_ok_count,syntax_ok_rate,satisfiable_count,satisfiable_rate,deterministic_count,deterministic_rate,all_checks_passed_count,all_checks_passed_rate,nonzero_rows_count,nonzero_rows_rate,avg_rows
kg__cq_complexity,kg|cq_complexity,kwg,,,,simple,60,60,1.0,47,0.7833,60,1.0,47,0.7833,47,0.7833,458.55
kg__cq_complexity,kg|cq_complexity,kwg_lite,,,,complex,60,59,0.9833,30,0.5,58,0.9667,29,0.4833,30,0.5,13.4167
kg__cq_complexity,kg|cq_complexity,kwg_lite,,,,moderate,60,60,1.0,45,0.75,60,1.0,45,0.75,45,0.75,49.2667
kg__cq_complexity,kg|cq_complexity,kwg_lite,,,,simple,60,60,1.0,55,0.9167,60,1.0,55,0.9167,55,0.9167,12.6833
kg__representation,kg|representation,core_scholar_rich,axiom,,,,60,60,1.0,52,0.8667,60,1.0,52,0.8667,51,0.85,16.5333
kg__representation,kg|representation,core_scholar_rich,nen,,,,60,60,1.0,52,0.8667,60,1.0,52,0.8667,52,0.8667,17.35
kg__representation,kg|representation,core_scholar_rich,ttl,,,,60,59,0.9833,41,0.6833,59,0.9833,41,0.6833,41,0.6833,13.8333
kg__representation,kg|representation,core_scholar_shallow,axiom,,,,60,59,0.9833,38,0.6333,59,0.9833,38,0.6333,38,0.6333,11.6667
kg__representation,kg|representation,core_scholar_shallow,nen,,,,60,60,1.0,43,0.7167,59,0.9833,43,0.7167,43,0.7167,13.6667
kg__representation,kg|representation,core_scholar_shallow,ttl,,,,60,60,1.0,39,0.65,60,1.0,39,0.65,39,0.65,11.5167
kg__representation,kg|representation,kwg,axiom,,,,60,60,1.0,30,0.5,60,1.0,30,0.5,30,0.5,144.2333
kg__representation,kg|representation,kwg,nen,,,,60,60,1.0,19,0.3167,60,1.0,19,0.3167,20,0.3333,208.6333
kg__representation,kg|representation,kwg,ttl,,,,60,58,0.9667,27,0.45,58,0.9667,27,0.45,28,0.4667,129.6333
kg__representation,kg|representation,kwg_lite,axiom,,,,60,59,0.9833,51,0.85,58,0.9667,50,0.8333,51,0.85,29.7667
kg__representation,kg|representation,kwg_lite,nen,,,,60,60,1.0,36,0.6,60,1.0,36,0.6,36,0.6,23.1167
kg__representation,kg|representation,kwg_lite,ttl,,,,60,60,1.0,43,0.7167,60,1.0,43,0.7167,43,0.7167,22.4833
kg__prompt_type,kg|prompt_type,core_scholar_rich,,0_shot,,,90,90,1.0,72,0.8,90,1.0,72,0.8,71,0.7889,15.4556
kg__prompt_type,kg|prompt_type,core_scholar_rich,,cot,,,90,89,0.9889,73,0.8111,89,0.9889,73,0.8111,73,0.8111,16.3556
kg__prompt_type,kg|prompt_type,core_scholar_shallow,,0_shot,,,90,89,0.9889,55,0.6111,89,0.9889,55,0.6111,55,0.6111,12.4556
kg__prompt_type,kg|prompt_type,core_scholar_shallow,,cot,,,90,90,1.0,65,0.7222,89,0.9889,65,0.7222,65,0.7222,12.1111
kg__prompt_type,kg|prompt_type,kwg,,0_shot,,,90,89,0.9889,30,0.3333,89,0.9889,30,0.3333,31,0.3444,153.7
kg__prompt_type,kg|prompt_type,kwg,,cot,,,90,89,0.9889,46,0.5111,89,0.9889,46,0.5111,47,0.5222,167.9667
kg__prompt_type,kg|prompt_type,kwg_lite,,0_shot,,,90,90,1.0,57,0.6333,90,1.0,57,0.6333,57,0.6333,32.6222
kg__prompt_type,kg|prompt_type,kwg_lite,,cot,,,90,89,0.9889,73,0.8111,88,0.9778,72,0.8,73,0.8111,17.6222
kg__temperature_label,kg|temperature_label,core_scholar_rich,,,temp0.0,,90,90,1.0,72,0.8,90,1.0,72,0.8,71,0.7889,15.8
kg__temperature_label,kg|temperature_label,core_scholar_rich,,,temp1.0,,90,89,0.9889,73,0.8111,89,0.9889,73,0.8111,73,0.8111,16.0111
kg__temperature_label,kg|temperature_label,core_scholar_shallow,,,temp0.0,,90,90,1.0,63,0.7,90,1.0,63,0.7,63,0.7,13.1222
kg__temperature_label,kg|temperature_label,core_scholar_shallow,,,temp1.0,,90,89,0.9889,57,0.6333,88,0.9778,57,0.6333,57,0.6333,11.4444
kg__temperature_label,kg|temperature_label,kwg,,,temp0.0,,90,89,0.9889,37,0.4111,89,0.9889,37,0.4111,38,0.4222,144.2889
kg__temperature_label,kg|temperature_label,kwg,,,temp1.0,,90,89,0.9889,39,0.4333,89,0.9889,39,0.4333,40,0.4444,177.3778
kg__temperature_label,kg|temperature_label,kwg_lite,,,temp0.0,,90,90,1.0,61,0.6778,90,1.0,61,0.6778,61,0.6778,16.0667
kg__temperature_label,kg|temperature_label,kwg_lite,,,temp1.0,,90,89,0.9889,69,0.7667,88,0.9778,68,0.7556,69,0.7667,34.1778
cq_complexity__representation,cq_complexity|representation,,axiom,,,complex,80,78,0.975,31,0.3875,77,0.9625,30,0.375,30,0.375,6.9
cq_complexity__representation,cq_complexity|representation,,nen,,,complex,80,80,1.0,26,0.325,79,0.9875,26,0.325,26,0.325,6.6
cq_complexity__representation,cq_complexity|representation,,ttl,,,complex,80,78,0.975,22,0.275,78,0.975,22,0.275,22,0.275,5.0375
cq_complexity__representation,cq_complexity|representation,,axiom,,,moderate,80,80,1.0,66,0.825,80,1.0,66,0.825,66,0.825,29.9375
cq_complexity__representation,cq_complexity|representation,,nen,,,moderate,80,80,1.0,54,0.675,80,1.0,54,0.675,55,0.6875,26.1125
cq_complexity__representation,cq_complexity|representation,,ttl,,,moderate,80,79,0.9875,61,0.7625,79,0.9875,61,0.7625,62,0.775,28.6875
cq_complexity__representation,cq_complexity|representation,,axiom,,,simple,80,80,1.0,74,0.925,80,1.0,74,0.925,74,0.925,114.8125
cq_complexity__representation,cq_complexity|representation,,nen,,,simple,80,80,1.0,70,0.875,80,1.0,70,0.875,70,0.875,164.3625
cq_complexity__representation,cq_complexity|representation,,ttl,,,simple,80,80,1.0,67,0.8375,80,1.0,67,0.8375,67,0.8375,99.375
cq_complexity__prompt_type,cq_complexity|prompt_type,,,0_shot,,complex,120,119,0.9917,36,0.3,119,0.9917,36,0.3,35,0.2917,4.7667
cq_complexity__prompt_type,cq_complexity|prompt_type,,,cot,,complex,120,117,0.975,43,0.3583,115,0.9583,42,0.35,43,0.3583,7.5917
cq_complexity__prompt_type,cq_complexity|prompt_type,,,0_shot,,moderate,120,119,0.9917,75,0.625,119,0.9917,75,0.625,76,0.6333,29.7833
cq_complexity__prompt_type,cq_complexity|prompt_type,,,cot,,moderate,120,120,1.0,106,0.8833,120,1.0,106,0.8833,107,0.8917,26.7083
cq_complexity__prompt_type,cq_complexity|prompt_type,,,0_shot,,simple,120,120,1.0,103,0.8583,120,1.0,103,0.8583,103,0.8583,126.125
cq_complexity__prompt_type,cq_complexity|prompt_type,,,cot,,simple,120,120,1.0,108,0.9,120,1.0,108,0.9,108,0.9,126.2417
cq_complexity__temperature_label,cq_complexity|temperature_label,,,,temp0.0,complex,120,120,1.0,41,0.3417,120,1.0,41,0.3417,40,0.3333,5.9583
cq_complexity__temperature_label,cq_complexity|temperature_label,,,,temp1.0,complex,120,116,0.9667,38,0.3167,114,0.95,37,0.3083,38,0.3167,6.4
cq_complexity__temperature_label,cq_complexity|temperature_label,,,,temp0.0,moderate,120,119,0.9917,88,0.7333,119,0.9917,88,0.7333,89,0.7417,21.45
cq_complexity__temperature_label,cq_complexity|temperature_label,,,,temp1.0,moderate,120,120,1.0,93,0.775,120,1.0,93,0.775,94,0.7833,35.0417
cq_complexity__temperature_label,cq_complexity|temperature_label,,,,temp0.0,simple,120,120,1.0,104,0.8667,120,1.0,104,0.8667,104,0.8667,114.55
cq_complexity__temperature_label,cq_complexity|temperature_label,,,,temp1.0,simple,120,120,1.0,107,0.8917,120,1.0,107,0.8917,107,0.8917,137.8167
representation__prompt_type,representation|prompt_type,,axiom,0_shot,,,120,119,0.9917,77,0.6417,119,0.9917,77,0.6417,76,0.6333,46.575
representation__prompt_type,representation|prompt_type,,axiom,cot,,,120,119,0.9917,94,0.7833,118,0.9833,93,0.775,94,0.7833,54.525
representation__prompt_type,representation|prompt_type,,nen,0_shot,,,120,120,1.0,71,0.5917,120,1.0,71,0.5917,71,0.5917,80.0
representation__prompt_type,representation|prompt_type,,nen,cot,,,120,120,1.0,79,0.6583,119,0.9917,79,0.6583,80,0.6667,51.3833
representation__prompt_type,representation|prompt_type,,ttl,0_shot,,,120,119,0.9917,66,0.55,119,0.9917,66,0.55,67,0.5583,34.1
representation__prompt_type,representation|prompt_type,,ttl,cot,,,120,118,0.9833,84,0.7,118,0.9833,84,0.7,84,0.7,54.6333
representation__temperature_label,representation|temperature_label,,axiom,,temp0.0,,120,120,1.0,86,0.7167,120,1.0,86,0.7167,85,0.7083,38.7083
representation__temperature_label,representation|temperature_label,,axiom,,temp1.0,,120,118,0.9833,85,0.7083,117,0.975,84,0.7,85,0.7083,62.3917
representation__temperature_label,representation|temperature_label,,nen,,temp0.0,,120,120,1.0,75,0.625,120,1.0,75,0.625,76,0.6333,48.9417
representation__temperature_label,representation|temperature_label,,nen,,temp1.0,,120,120,1.0,75,0.625,119,0.9917,75,0.625,75,0.625,82.4417
representation__temperature_label,representation|temperature_label,,ttl,,temp0.0,,120,119,0.9917,72,0.6,119,0.9917,72,0.6,72,0.6,54.3083
representation__temperature_label,representation|temperature_label,,ttl,,temp1.0,,120,118,0.9833,78,0.65,118,0.9833,78,0.65,79,0.6583,34.425
prompt_type__temperature_label,prompt_type|temperature_label,,,0_shot,temp0.0,,180,179,0.9944,105,0.5833,179,0.9944,105,0.5833,104,0.5778,35.1278
prompt_type__temperature_label,prompt_type|temperature_label,,,0_shot,temp1.0,,180,179,0.9944,109,0.6056,179,0.9944,109,0.6056,110,0.6111,71.9889
prompt_type__temperature_label,prompt_type|temperature_label,,,cot,temp0.0,,180,180,1.0,128,0.7111,180,1.0,128,0.7111,129,0.7167,59.5111
prompt_type__temperature_label,prompt_type|temperature_label,,,cot,temp1.0,,180,177,0.9833,129,0.7167,175,0.9722,128,0.7111,129,0.7167,47.5167
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,axiom,,,complex,20,20,1.0,12,0.6,20,1.0,12,0.6,11,0.55,6.6
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,nen,,,complex,20,20,1.0,12,0.6,20,1.0,12,0.6,12,0.6,9.05
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,ttl,,,complex,20,19,0.95,7,0.35,19,0.95,7,0.35,7,0.35,4.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,axiom,,,moderate,20,20,1.0,20,1.0,20,1.0,20,1.0,20,1.0,23.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,nen,,,moderate,20,20,1.0,20,1.0,20,1.0,20,1.0,20,1.0,24.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,ttl,,,moderate,20,20,1.0,17,0.85,20,1.0,17,0.85,17,0.85,19.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,axiom,,,simple,20,20,1.0,20,1.0,20,1.0,20,1.0,20,1.0,19.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,nen,,,simple,20,20,1.0,20,1.0,20,1.0,20,1.0,20,1.0,18.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_rich,ttl,,,simple,20,20,1.0,17,0.85,20,1.0,17,0.85,17,0.85,17.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,axiom,,,complex,20,19,0.95,5,0.25,19,0.95,5,0.25,5,0.25,4.0
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,nen,,,complex,20,20,1.0,6,0.3,19,0.95,6,0.3,6,0.3,4.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,ttl,,,complex,20,20,1.0,3,0.15,20,1.0,3,0.15,3,0.15,3.05
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,axiom,,,moderate,20,20,1.0,17,0.85,20,1.0,17,0.85,17,0.85,17.0
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,nen,,,moderate,20,20,1.0,19,0.95,20,1.0,19,0.95,19,0.95,20.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,ttl,,,moderate,20,20,1.0,18,0.9,20,1.0,18,0.9,18,0.9,16.5
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,axiom,,,simple,20,20,1.0,16,0.8,20,1.0,16,0.8,16,0.8,14.0
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,nen,,,simple,20,20,1.0,18,0.9,20,1.0,18,0.9,18,0.9,16.0
kg__cq_complexity__representation,kg|cq_complexity|representation,core_scholar_shallow,ttl,,,simple,20,20,1.0,18,0.9,20,1.0,18,0.9,18,0.9,15.0
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,axiom,,,complex,20,20,1.0,2,0.1,20,1.0,2,0.1,2,0.1,0.7
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,nen,,,complex,20,20,1.0,0,0.0,20,1.0,0,0.0,0,0.0,0.0
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,ttl,,,complex,20,19,0.95,2,0.1,19,0.95,2,0.1,2,0.1,1.5
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,axiom,,,moderate,20,20,1.0,10,0.5,20,1.0,10,0.5,10,0.5,24.1
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,nen,,,moderate,20,20,1.0,4,0.2,20,1.0,4,0.2,5,0.25,16.25
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,ttl,,,moderate,20,19,0.95,11,0.55,19,0.95,11,0.55,12,0.6,29.3
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,axiom,,,simple,20,20,1.0,18,0.9,20,1.0,18,0.9,18,0.9,407.9
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,nen,,,simple,20,20,1.0,15,0.75,20,1.0,15,0.75,15,0.75,609.65
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg,ttl,,,simple,20,20,1.0,14,0.7,20,1.0,14,0.7,14,0.7,358.1
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,axiom,,,complex,20,19,0.95,12,0.6,18,0.9,11,0.55,12,0.6,16.3
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,nen,,,complex,20,20,1.0,8,0.4,20,1.0,8,0.4,8,0.4,12.85
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,ttl,,,complex,20,20,1.0,10,0.5,20,1.0,10,0.5,10,0.5,11.1
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,axiom,,,moderate,20,20,1.0,19,0.95,20,1.0,19,0.95,19,0.95,55.15
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,nen,,,moderate,20,20,1.0,11,0.55,20,1.0,11,0.55,11,0.55,43.2
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,ttl,,,moderate,20,20,1.0,15,0.75,20,1.0,15,0.75,15,0.75,49.45
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,axiom,,,simple,20,20,1.0,20,1.0,20,1.0,20,1.0,20,1.0,17.85
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,nen,,,simple,20,20,1.0,17,0.85,20,1.0,17,0.85,17,0.85,13.3
kg__cq_complexity__representation,kg|cq_complexity|representation,kwg_lite,ttl,,,simple,20,20,1.0,18,0.9,20,1.0,18,0.9,18,0.9,6.9
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_rich,,0_shot,,complex,30,30,1.0,16,0.5333,30,1.0,16,0.5333,15,0.5,6.7
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_rich,,cot,,complex,30,29,0.9667,15,0.5,29,0.9667,15,0.5,15,0.5,6.7333
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_rich,,0_shot,,moderate,30,30,1.0,28,0.9333,30,1.0,28,0.9333,28,0.9333,23.0
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_rich,,cot,,moderate,30,30,1.0,29,0.9667,30,1.0,29,0.9667,29,0.9667,22.0
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_rich,,0_shot,,simple,30,30,1.0,28,0.9333,30,1.0,28,0.9333,28,0.9333,16.6667
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_rich,,cot,,simple,30,30,1.0,29,0.9667,30,1.0,29,0.9667,29,0.9667,20.3333
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_shallow,,0_shot,,complex,30,29,0.9667,6,0.2,29,0.9667,6,0.2,6,0.2,3.7
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_shallow,,cot,,complex,30,30,1.0,8,0.2667,29,0.9667,8,0.2667,8,0.2667,4.0
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_shallow,,0_shot,,moderate,30,30,1.0,25,0.8333,30,1.0,25,0.8333,25,0.8333,19.0
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_shallow,,cot,,moderate,30,30,1.0,29,0.9667,30,1.0,29,0.9667,29,0.9667,17.0
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_shallow,,0_shot,,simple,30,30,1.0,24,0.8,30,1.0,24,0.8,24,0.8,14.6667
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,core_scholar_shallow,,cot,,simple,30,30,1.0,28,0.9333,30,1.0,28,0.9333,28,0.9333,15.3333
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg,,0_shot,,complex,30,30,1.0,2,0.0667,30,1.0,2,0.0667,2,0.0667,1.0
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg,,cot,,complex,30,29,0.9667,2,0.0667,29,0.9667,2,0.0667,2,0.0667,0.4667
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg,,0_shot,,moderate,30,29,0.9667,4,0.1333,29,0.9667,4,0.1333,5,0.1667,1.7
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg,,cot,,moderate,30,30,1.0,21,0.7,30,1.0,21,0.7,22,0.7333,44.7333
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg,,0_shot,,simple,30,30,1.0,24,0.8,30,1.0,24,0.8,24,0.8,458.4
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg,,cot,,simple,30,30,1.0,23,0.7667,30,1.0,23,0.7667,23,0.7667,458.7
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg_lite,,0_shot,,complex,30,30,1.0,12,0.4,30,1.0,12,0.4,12,0.4,7.6667
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg_lite,,cot,,complex,30,29,0.9667,18,0.6,28,0.9333,17,0.5667,18,0.6,19.1667
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg_lite,,0_shot,,moderate,30,30,1.0,18,0.6,30,1.0,18,0.6,18,0.6,75.4333
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg_lite,,cot,,moderate,30,30,1.0,27,0.9,30,1.0,27,0.9,27,0.9,23.1
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg_lite,,0_shot,,simple,30,30,1.0,27,0.9,30,1.0,27,0.9,27,0.9,14.7667
kg__cq_complexity__prompt_type,kg|cq_complexity|prompt_type,kwg_lite,,cot,,simple,30,30,1.0,28,0.9333,30,1.0,28,0.9333,28,0.9333,10.6
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_rich,,,temp0.0,complex,30,30,1.0,15,0.5,30,1.0,15,0.5,14,0.4667,6.4
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_rich,,,temp1.0,complex,30,29,0.9667,16,0.5333,29,0.9667,16,0.5333,16,0.5333,7.0333
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_rich,,,temp0.0,moderate,30,30,1.0,29,0.9667,30,1.0,29,0.9667,29,0.9667,23.0
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_rich,,,temp1.0,moderate,30,30,1.0,28,0.9333,30,1.0,28,0.9333,28,0.9333,22.0
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_rich,,,temp0.0,simple,30,30,1.0,28,0.9333,30,1.0,28,0.9333,28,0.9333,18.0
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_rich,,,temp1.0,simple,30,30,1.0,29,0.9667,30,1.0,29,0.9667,29,0.9667,19.0
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_shallow,,,temp0.0,complex,30,30,1.0,9,0.3,30,1.0,9,0.3,9,0.3,5.0333
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_shallow,,,temp1.0,complex,30,29,0.9667,5,0.1667,28,0.9333,5,0.1667,5,0.1667,2.6667
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_shallow,,,temp0.0,moderate,30,30,1.0,28,0.9333,30,1.0,28,0.9333,28,0.9333,19.0
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_shallow,,,temp1.0,moderate,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,17.0
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_shallow,,,temp0.0,simple,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,15.3333
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,core_scholar_shallow,,,temp1.0,simple,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,14.6667
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg,,,temp0.0,complex,30,30,1.0,2,0.0667,30,1.0,2,0.0667,2,0.0667,0.8
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg,,,temp1.0,complex,30,29,0.9667,2,0.0667,29,0.9667,2,0.0667,2,0.0667,0.6667
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg,,,temp0.0,moderate,30,29,0.9667,11,0.3667,29,0.9667,11,0.3667,12,0.4,20.5667
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg,,,temp1.0,moderate,30,30,1.0,14,0.4667,30,1.0,14,0.4667,15,0.5,25.8667
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg,,,temp0.0,simple,30,30,1.0,24,0.8,30,1.0,24,0.8,24,0.8,411.5
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg,,,temp1.0,simple,30,30,1.0,23,0.7667,30,1.0,23,0.7667,23,0.7667,505.6
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg_lite,,,temp0.0,complex,30,30,1.0,15,0.5,30,1.0,15,0.5,15,0.5,11.6
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg_lite,,,temp1.0,complex,30,29,0.9667,15,0.5,28,0.9333,14,0.4667,15,0.5,15.2333
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg_lite,,,temp0.0,moderate,30,30,1.0,20,0.6667,30,1.0,20,0.6667,20,0.6667,23.2333
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg_lite,,,temp1.0,moderate,30,30,1.0,25,0.8333,30,1.0,25,0.8333,25,0.8333,75.3
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg_lite,,,temp0.0,simple,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,13.3667
kg__cq_complexity__temperature_label,kg|cq_complexity|temperature_label,kwg_lite,,,temp1.0,simple,30,30,1.0,29,0.9667,30,1.0,29,0.9667,29,0.9667,12.0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,axiom,0_shot,,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,25,0.8333,16.3333
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,axiom,cot,,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,16.7333
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,nen,0_shot,,,30,30,1.0,26,0.8667,30,1.0,26,0.8667,26,0.8667,16.7
